,,01jan2020,02jan2020,03jan2020,04jan2020,05jan2020,06jan2020,07jan2020,08jan2020,09jan2020,10jan2020,11jan2020,12jan2020,13jan2020,14jan2020,15jan2020,16jan2020,17jan2020,18jan2020,19jan2020,20jan2020,21jan2020,22jan2020,23jan2020,24jan2020,25jan2020,26jan2020,27jan2020,28jan2020,29jan2020,30jan2020,31jan2020,01feb2020,02feb2020,03feb2020,04feb2020,05feb2020,06feb2020,07feb2020,08feb2020,09feb2020,10feb2020,11feb2020,12feb2020,13feb2020,14feb2020,15feb2020,16feb2020,17feb2020,18feb2020,19feb2020,20feb2020,21feb2020,22feb2020,23feb2020,24feb2020,25feb2020,26feb2020,27feb2020,28feb2020,29feb2020,01mar2020,02mar2020,03mar2020,04mar2020,05mar2020,06mar2020,07mar2020,08mar2020,09mar2020,10mar2020,11mar2020,12mar2020,13mar2020,14mar2020,15mar2020,16mar2020,17mar2020,18mar2020,19mar2020,20mar2020,21mar2020,22mar2020,23mar2020,24mar2020,25mar2020,26mar2020,27mar2020,28mar2020,29mar2020,30mar2020,31mar2020,01apr2020,02apr2020,03apr2020,04apr2020,05apr2020,06apr2020,07apr2020,08apr2020,09apr2020,10apr2020,11apr2020,12apr2020,13apr2020,14apr2020,15apr2020,16apr2020,17apr2020,18apr2020,19apr2020,20apr2020,21apr2020,22apr2020,23apr2020,24apr2020,25apr2020,26apr2020,27apr2020,28apr2020,29apr2020,30apr2020,01may2020,02may2020,03may2020,04may2020,05may2020,06may2020,07may2020,08may2020,09may2020,10may2020,11may2020,12may2020,13may2020,14may2020,15may2020,16may2020,17may2020,18may2020,19may2020,20may2020,21may2020,22may2020,23may2020,24may2020,25may2020,26may2020,27may2020,28may2020,29may2020,30may2020,31may2020,01jun2020,02jun2020,03jun2020,04jun2020,05jun2020,06jun2020,07jun2020,08jun2020,09jun2020,10jun2020,11jun2020,12jun2020
Lithuania,LTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,2.559999943,6.409999847,6.409999847,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,23.71999931,35.25999832,35.25999832,35.25999832,58.97000122,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,62.81999969,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,80.76999664,80.76999664,80.76999664,84.62000275,84.62000275,84.62000275,84.62000275,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,78.20999908,78.20999908,78.20999908,78.20999908,78.20999908,78.20999908,78.20999908,78.20999908,78.20999908,78.20999908,78.20999908,78.20999908,78.20999908,78.20999908,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,76.27999878,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,62.18000031,62.18000031,62.18000031,62.18000031,.,.,.,.,.,.,.,.
Luxembourg,LUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.81999969,12.81999969,12.81999969,12.81999969,20.51000023,20.51000023,20.51000023,20.51000023,28.20999908,28.20999908,28.20999908,32.04999924,39.74000168,39.74000168,47.43999863,60.25999832,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,80.76999664,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,.,.
Macao,MAC,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,9.619999886,12.18000031,12.18000031,12.18000031,12.18000031,12.18000031,12.18000031,12.18000031,12.18000031,12.18000031,12.18000031,19.87000084,27.55999947,30.12999916,30.12999916,30.12999916,30.12999916,30.12999916,30.12999916,35.25999832,35.25999832,35.25999832,35.25999832,40.38000107,40.38000107,40.38000107,40.38000107,40.38000107,40.38000107,40.38000107,40.38000107,40.38000107,40.38000107,51.91999817,51.91999817,51.91999817,51.91999817,53.84999847,53.84999847,53.84999847,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,48.72000122,48.72000122,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,48.08000183,48.08000183,48.08000183,48.08000183,48.08000183,48.08000183,48.08000183,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,46.15000153,.,.
Morocco,MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.130000114,5.130000114,8.970000267,8.970000267,8.970000267,8.970000267,8.970000267,8.970000267,8.970000267,8.970000267,8.970000267,22.44000053,35.90000153,35.90000153,43.59000015,43.59000015,43.59000015,43.59000015,67.94999695,67.94999695,67.94999695,71.79000092,71.79000092,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,73.72000122,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,81.41000366,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,85.26000214,76.27999878,76.27999878
Moldova,MDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,7.690000057,11.53999996,26.92000008,42.31000137,42.31000137,42.31000137,42.31000137,42.31000137,42.31000137,44.22999954,44.22999954,44.22999954,44.22999954,46.15000153,46.15000153,51.91999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,66.66999817,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,76.91999817,76.91999817,76.91999817,76.91999817,76.91999817,76.91999817,76.91999817,76.91999817,76.91999817,76.91999817,76.91999817,76.91999817,76.91999817,76.91999817,76.91999817,76.91999817,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061,74.36000061
Madagascar,MDG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.769999981,5.769999981,5.769999981,13.46000004,13.46000004,15.38000011,57.04999924,63.45999908,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,69.87000275,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,56.40999985,56.40999985,48.72000122,48.72000122,48.72000122,48.72000122,48.72000122,46.79000092,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,50.63999939,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,.,.,.,.,.
Mexico,MEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,9.619999886,9.619999886,17.30999947,40.38000107,40.38000107,48.08000183,48.08000183,48.08000183,48.08000183,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,56.72999954,56.72999954,56.72999954,56.72999954,56.72999954,56.72999954,56.72999954,56.72999954,56.72999954,56.72999954,56.72999954,.
Mali,MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.690000057,15.38000011,15.38000011,15.38000011,15.38000011,15.38000011,15.38000011,50,50,50,50,50,50,50,57.68999863,57.68999863,57.68999863,57.68999863,57.68999863,57.68999863,57.68999863,57.68999863,57.68999863,57.68999863,57.68999863,57.68999863,57.68999863,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,66.02999878,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,57.04999924,.,.,54.49000168,.,.,.,.,.,.,.,.
Myanmar,MMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,9.619999886,9.619999886,9.619999886,9.619999886,23.07999992,23.07999992,25,30.12999916,30.12999916,30.12999916,30.12999916,35.25999832,35.25999832,35.25999832,35.25999832,41.66999817,41.66999817,46.79000092,46.79000092,46.79000092,46.79000092,48.72000122,48.72000122,54.49000168,54.49000168,54.49000168,57.04999924,57.04999924,57.04999924,62.81999969,62.81999969,62.81999969,64.09999847,64.09999847,65.37999725,65.37999725,66.66999817,66.66999817,66.66999817,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,70.51000214,70.51000214,70.51000214,70.51000214,70.51000214,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,66.66999817,66.66999817,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,64.73999786,.,.,.,.,.,.,.,.,.,.,.,.
Mongolia,MNG,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,33.97000122,45.50999832,45.50999832,45.50999832,45.50999832,45.50999832,45.50999832,45.50999832,45.50999832,45.50999832,45.50999832,45.50999832,39.74000168,39.74000168,39.74000168,39.74000168,39.74000168,39.74000168,39.74000168,50,50,50,50,50,50,50,44.22999954,44.22999954,44.22999954,44.22999954,44.22999954,44.22999954,51.91999817,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,53.84999847,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,55.77000046,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,63.45999908,80.76999664,80.76999664,80.76999664,63.45999908,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092,61.54000092
Mozambique,MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,5.769999981,9.619999886,14.10000038,14.10000038,25.63999939,42.95000076,42.95000076,42.95000076,42.95000076,42.95000076,42.95000076,42.95000076,42.95000076,42.95000076,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,49.36000061,53.20999908,53.20999908,53.20999908,53.20999908,53.20999908,53.20999908,53.20999908,.,.,.,.,.,.,.,.
Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,19.22999954,19.22999954,19.22999954,26.92000008,26.92000008,26.92000008,47.43999863,47.43999863,47.43999863,47.43999863,51.27999878,51.27999878,58.97000122,58.97000122,61.54000092,61.54000092,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,69.23000336,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,71.79000092,.
Mauritius,MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,10.26000023,21.79000092,41.02999878,44.86999893,44.86999893,59.61999893,59.61999893,59.61999893,67.30999756,67.30999756,67.30999756,67.30999756,67.30999756,67.30999756,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,67.30999756,67.30999756,67.30999756,67.30999756,67.30999756,67.30999756,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,71.15000153,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,63.45999908,63.45999908,63.45999908,.,.,.,.,.,.,.,.,.,.,.
Malawi,MWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,3.849999905,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,7.690000057,21.14999962,21.14999962,21.14999962,28.85000038,28.85000038,28.85000038,28.85000038,28.85000038,28.85000038,28.85000038,28.85000038,28.85000038,34.61999893,38.45999908,42.31000137,44.86999893,44.86999893,44.86999893,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,47.43999863,50,50,51.91999817,51.91999817,51.91999817,51.91999817,51.91999817,51.91999817,51.91999817,51.91999817,51.91999817,57.68999863,57.68999863,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,65.37999725,.
Malaysia,MYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,10.26000023,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,17.95000076,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,23.71999931,25.63999939,25.63999939,25.63999939,25.63999939,25.63999939,29.48999977,29.48999977,32.04999924,32.04999924,32.04999924,32.04999924,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,60.90000153,68.58999634,68.58999634,68.58999634,68.58999634,68.58999634,72.44000244,72.44000244,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,77.55999756,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,78.84999847,.,.,.,.,.,.
Namibia,NAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,1.919999957,16.03000069,16.03000069,16.03000069,44.86999893,44.86999893,44.86999893,44.86999893,44.86999893,44.86999893,44.86999893,46.79000092,46.79000092,50.63999939,60.25999832,60.25999832,60.25999832,60.25999832,60.25999832,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,72.44000244,65.37999725,65.37999725,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,67.94999695,59.61999893,59.61999893,59.61999893,59.61999893,59.61999893,59.61999893,59.61999893,59.61999893,59.61999893,59.61999893,59.61999893,.
